body id,particle id,x,y,z,r,m
0,0,4.316638574558225,2.6924935047345997,3.3720418210675303,1.0,10.471975511965976
1,0,4.729593726843869,4.9129656470049365,1.6455988661128753,1.0,10.471975511965976
2,0,0.7695374468859421,3.9628122397122176,2.314952188830164,1.0,10.471975511965976
3,0,1.356792594525459,7.551696765237032,1.8541410252522021,1.0,10.471975511965976
4,0,2.9699792419862576,4.009067634931201,1.4509923243383336,1.0,10.471975511965976
5,0,4.883911224486732,7.2916266989316805,1.4514711818511221,1.0,10.471975511965976
6,0,7.223853988076057,7.423470122412789,1.4409457503808107,1.0,10.471975511965976
7,0,6.3390118286943595,1.882696559123182,1.4478506280908618,1.0,10.471975511965976
8,0,1.4576175281315917,5.251862415297819,0.9890737982912852,1.0,10.471975511965976
9,0,6.076571117503108,0.24674991736332122,2.8313927713660334,1.0,10.471975511965976
10,0,4.643912149675646,2.927575052693824,1.43659015767332,1.0,10.471975511965976
11,0,7.329480593190925,3.6804096307513827,0.9895580401733189,1.0,10.471975511965976
12,0,3.218324018014843,6.2204385864635805,1.865716017925692,1.0,10.471975511965976
13,0,0.6081647984872808,1.1707561671219766,0.9885086726395913,1.0,10.471975511965976
14,0,7.556001907322778,3.6384797076002067,3.8510280988463457,1.0,10.471975511965976
15,0,5.641853571103478,6.261506845206969,2.9720488433370305,1.0,10.471975511965976
16,0,2.3882587059383438,3.1560956067637402,3.14916709195354,1.0,10.471975511965976
17,0,6.084544839759609,3.7534671158570245,2.520985786605691,1.0,10.471975511965976
18,0,4.387145543877702,1.084705881132252,2.192422714698708,1.0,10.471975511965976
19,0,2.5528823559644502,0.8694488638707967,2.9519877718177545,1.0,10.471975511965976
20,0,2.2761110945966894,2.1369179150932456,1.448506889523205,1.0,10.471975511965976
21,0,0.3176617070819621,5.94401924104469,2.453385798655448,1.0,10.471975511965976
22,0,6.662963791556625,5.498606475233782,1.4447195291876085,1.0,10.471975511965976
23,0,7.957625269368644,2.1646989091969564,2.5661765804691425,1.0,10.471975511965976
24,0,3.091386112936246,0.013989381112312863,0.9924759949572511,1.0,10.471975511965976
25,0,1.651200314769417,3.2378354845328277,0.24969634210906583,0.25,0.10471975511965977
26,0,6.262526034983965,0.21107206134124834,1.572671858177035,0.25,0.10471975511965977
27,0,4.59770003203046,1.8753991337368217,0.742420346608717,0.25,0.10471975511965977
28,0,2.74014388079448,0.9992964349885822,1.6761429967485326,0.25,0.10471975511965977
29,0,4.88220076028535,0.18881956683569814,0.5863100053783372,0.25,0.10471975511965977
30,0,2.2614034254586506,0.9481263894014849,0.9918293499248184,0.25,0.10471975511965977
31,0,1.183694187669703,3.905397511471595,1.0923158240544053,0.25,0.10471975511965977
32,0,1.801903663555203,0.8445818667775659,1.156464096237505,0.25,0.10471975511965977
33,0,4.089270787960202,3.898172771573068,1.994831074161598,0.25,0.10471975511965977
34,0,7.065723948356706,0.628439314519393,1.7317445938402285,0.25,0.10471975511965977
35,0,5.699874840015963,5.692748622424562,0.6666574494850291,0.25,0.10471975511965977
36,0,2.136523624250771,0.7026786234665282,0.5744480452291336,0.25,0.10471975511965977
37,0,7.36311562199773,1.0763286553317701,1.0400430267826437,0.25,0.10471975511965977
38,0,3.7943960982407297,2.032466575130965,1.6340122162675943,0.25,0.10471975511965977
39,0,1.7562483981094854,3.225830531122513,1.7737234785320088,0.25,0.10471975511965977
40,0,3.403963826137662,1.1862541401456996,0.6749382002246673,0.25,0.10471975511965977
41,0,0.33733971959216497,5.820810294015507,0.6816319404971131,0.25,0.10471975511965977
42,0,2.492941696291216,7.9991688071381555,2.075007352083114,0.25,0.10471975511965977
43,0,6.051782816106585,6.540644067965119,1.760523696883575,0.25,0.10471975511965977
44,0,4.009346375802617,4.7337333968323145,0.6457547207037918,0.25,0.10471975511965977
45,0,0.5643235362283665,0.4997780219722304,2.041877971627852,0.25,0.10471975511965977
46,0,2.0855422695300825,3.2698858727586697,0.9709557289641619,0.25,0.10471975511965977
47,0,0.9426066771350267,2.2480336479942253,1.5258185922567233,0.25,0.10471975511965977
48,0,5.18709790256233,1.243181347160676,0.24983851323276185,0.25,0.10471975511965977
49,0,0.9500518469153534,3.1558430119250604,0.7419778754557053,0.25,0.10471975511965977
50,0,3.08233978075888,1.2571268430127882,1.0867104835334649,0.25,0.10471975511965977
51,0,0.2804741343429219,4.716234710993448,0.6336834576818862,0.25,0.10471975511965977
52,0,4.330872707864082,0.6076981184989858,0.60859079017286,0.25,0.10471975511965977
53,0,2.362967600914006,5.036801361808693,1.8236438062470004,0.25,0.10471975511965977
54,0,4.395315504312745,3.961966966541425,2.384660349915278,0.25,0.10471975511965977
55,0,5.860673700327837,0.5682077481636205,0.9941710635839411,0.25,0.10471975511965977
56,0,7.493394319651545,1.413816036100741,1.4907148504983354,0.25,0.10471975511965977
57,0,6.316228943745591,0.5341670507986108,1.1950723865850454,0.25,0.10471975511965977
58,0,7.869948669452097,4.806666060240747,0.9617358801237039,0.25,0.10471975511965977
59,0,2.0556775303119257,6.3425043437540936,1.1077881868421307,0.25,0.10471975511965977
60,0,6.081055365196264,6.917122493042264,1.4328508441429968,0.25,0.10471975511965977
61,0,6.148614578864692,7.001383917322887,1.9241330293346803,0.25,0.10471975511965977
62,0,1.0014210973400397,2.423066326527426,1.061432422979922,0.25,0.10471975511965977
63,0,4.464123968853026,7.3456614605568875,0.2499454579953682,0.25,0.10471975511965977
64,0,0.6666777277891665,2.7713855796333657,0.8878292373437414,0.25,0.10471975511965977
65,0,5.425637832537721,4.300183590239505,0.8112892481415177,0.25,0.10471975511965977
66,0,5.53749939343822,5.220100233677051,0.6768018154809754,0.25,0.10471975511965977
67,0,3.8764436703331535,4.252332409557107,2.276266355779379,0.25,0.10471975511965977
68,0,5.637588174476362,2.6496749974954357,2.1416227410795767,0.25,0.10471975511965977
69,0,1.3060415113766584,7.384381114639998,0.6222680689767487,0.25,0.10471975511965977
70,0,6.052983296667039,3.2622741931997905,0.6532825926923217,0.25,0.10471975511965977
71,0,5.185617807755385,0.7767067643736189,1.2828466875981366,0.25,0.10471975511965977
72,0,5.289941676393478,0.7989425850650008,0.6901161944003754,0.25,0.10471975511965977
73,0,3.7809874901769684,1.556715143953157,1.2086259944491198,0.25,0.10471975511965977
74,0,5.359300011047761,6.0411926046302185,1.302343731280389,0.25,0.10471975511965977
75,0,4.640749168732279,7.813379997955694,0.24994458643946527,0.25,0.10471975511965977
76,0,4.117940029509349,7.826331367140499,0.2499147589548149,0.25,0.10471975511965977
77,0,6.029607763828064,7.788639437730591,1.4281129941347257,0.25,0.10471975511965977
78,0,6.3900530993105695,4.571915772690745,0.6526348655622185,0.25,0.10471975511965977
79,0,5.069094780726451,7.450984794345922,0.24605587319519762,0.25,0.10471975511965977
80,0,3.6655680081109665,3.1870132326420246,0.6324663165793264,0.25,0.10471975511965977
81,0,4.459279232481891,6.225250101795633,0.970374362500459,0.25,0.10471975511965977
82,0,5.5330150294719305,2.444897327332369,0.6615008777510473,0.25,0.10471975511965977
83,0,5.346369075592092,0.44090349975015186,1.6160895027619513,0.25,0.10471975511965977
84,0,0.6449336733241863,4.200434677789826,1.0691427738786465,0.25,0.10471975511965977
85,0,4.573535139250245,0.9046624909039686,0.9733623421850032,0.25,0.10471975511965977
86,0,1.4330806216705738,1.3391162492666355,1.912148829342884,0.25,0.10471975511965977
87,0,3.9884555441434837,0.9700889791949051,0.6451490664258981,0.25,0.10471975511965977
88,0,1.4627740545974923,6.141438256415612,1.867020207990344,0.25,0.10471975511965977
89,0,1.375136786340607,0.800374933449235,1.9031745725585396,0.25,0.10471975511965977
90,0,7.476878478901292,2.4405939136893253,1.0462899066545082,0.25,0.10471975511965977
91,0,4.8196951449712,6.994294569406342,0.24818348084422043,0.25,0.10471975511965977
92,0,4.896507432876516,1.1028504243550925,0.6503254515264725,0.25,0.10471975511965977
93,0,7.498395873153319,5.044466335928297,0.6338935930646671,0.25,0.10471975511965977
94,0,1.6390087592830844,4.042620987160738,1.2461477856765923,0.25,0.10471975511965977
95,0,5.846040374927891,6.5256050880836565,1.2294600000352887,0.25,0.10471975511965977
96,0,3.7751373388785305,0.7510363167567178,0.24988959672233851,0.25,0.10471975511965977
97,0,4.870251872938211,6.068885964287581,1.2035500980594325,0.25,0.10471975511965977
98,0,4.053204554133153,0.33527413057977834,0.24994864316830376,0.25,0.10471975511965977
99,0,0.06254903906495038,2.668430104951945,0.98805083697184,0.25,0.10471975511965977
100,0,1.9804770280497317,6.103327591217105,1.7393472785585735,0.25,0.10471975511965977
101,0,5.167479713809697,1.251674414486404,1.1130918325482884,0.25,0.10471975511965977
102,0,0.06826755423285148,5.166697845366633,0.6781055410365876,0.25,0.10471975511965977
103,0,5.736987827097641,4.666298479313346,0.948564071450737,0.25,0.10471975511965977
104,0,1.115530134179841,1.914328903657998,1.855493678415581,0.25,0.10471975511965977
105,0,3.964280304776504,7.350755434116398,0.249959669822299,0.25,0.10471975511965977
106,0,3.5220270588592357,5.011819686434516,1.9500805790694484,0.25,0.10471975511965977
107,0,3.717704486690723,1.0902639757952244,1.051148478176666,0.25,0.10471975511965977
108,0,3.3098955853422423,2.8193310472418185,1.2829648759867083,0.25,0.10471975511965977
109,0,5.10482316504455,6.099074450195672,1.7287346489067381,0.25,0.10471975511965977
110,0,5.845805756009936,4.939179197027569,2.206699264438557,0.25,0.10471975511965977
111,0,1.2637448344906592,2.9101708900348777,1.120448164466284,0.25,0.10471975511965977
112,0,7.513510792840027,0.6712015728050836,1.3257450134731146,0.25,0.10471975511965977
113,0,4.390050819006608,6.099193787450087,1.4484632117228722,0.25,0.10471975511965977
114,0,5.261864983000723,5.76614399072408,0.8972414907279631,0.25,0.10471975511965977
115,0,6.113886340505896,7.031812922666176,0.9475809914804273,0.25,0.10471975511965977
116,0,0.9095800496428703,6.097789589746806,0.24991279456657178,0.25,0.10471975511965977
117,0,6.8123040132017,0.9033572755982014,2.0633937556036854,0.25,0.10471975511965977
118,0,0.5096598039182556,3.2724216992634814,0.9464937839965778,0.25,0.10471975511965977
119,0,7.056762296605612,6.05862483069935,2.490307462310528,0.25,0.10471975511965977
120,0,6.249871933293317,0.1143144956163637,0.9319173996778509,0.25,0.10471975511965977
121,0,0.4536717125571327,2.40065657059726,1.1464634399206926,0.25,0.10471975511965977
122,0,7.937487697974546,4.675626027992757,1.4393331542183139,0.25,0.10471975511965977
123,0,0.5717444693303084,5.729547864471775,0.2497329617251761,0.25,0.10471975511965977
124,0,1.4030873895192522,6.902536673727272,0.7028680423344329,0.25,0.10471975511965977
125,0,4.3864047502043855,0.11262979407212896,0.5593732055480237,0.25,0.10471975511965977
126,0,3.2448892799130387,1.4924164992554176,1.8988076404369936,0.25,0.10471975511965977
127,0,1.996126735824767,5.209299872732799,2.116113816929893,0.25,0.10471975511965977
128,0,2.7821527134623474,6.338658082183424,0.6749902133877832,0.25,0.10471975511965977
129,0,5.973875302760533,5.661142477672985,0.24991274114658218,0.25,0.10471975511965977
130,0,5.231259948808529,1.989048673036356,2.016072624736031,0.25,0.10471975511965977
131,0,2.4242812288253517,6.606444358808518,0.897847632812065,0.25,0.10471975511965977
132,0,7.298339171162492,3.1222732203379846,2.107255883260228,0.25,0.10471975511965977
133,0,7.525134042796415,5.995215554137312,0.6885051845142715,0.25,0.10471975511965977
134,0,1.3119259456856585,3.1188505706591916,1.5714589882427983,0.25,0.10471975511965977
135,0,3.742963849419634,5.198296565312883,2.357800543034587,0.25,0.10471975511965977
136,0,2.0976740702756733,5.67784544340504,1.9742816643523171,0.25,0.10471975511965977
137,0,0.06732079723835585,6.567487892260023,0.25014551486454234,0.25,0.10471975511965977
138,0,4.8641664527204,3.8362835231767485,2.265554976426287,0.25,0.10471975511965977
139,0,5.880977883135594,3.474283803758746,1.0719184556617665,0.25,0.10471975511965977
140,0,5.825551552437333,0.4326445628269865,1.4738902308497146,0.25,0.10471975511965977
141,0,7.163318023661024,2.749673067674336,1.8025682955102935,0.25,0.10471975511965977
142,0,0.38397765474127016,7.709309663385109,1.0929876958858822,0.25,0.10471975511965977
143,0,1.801805180106425,4.312739772205432,1.7282948777695706,0.25,0.10471975511965977
144,0,4.631778939103494,6.146065967197805,1.8833514349406641,0.25,0.10471975511965977
145,0,3.3257742041860863,5.909845203526586,0.6707138771474165,0.25,0.10471975511965977
146,0,1.549436408754461,3.597261321216652,0.9466078950372008,0.25,0.10471975511965977
147,0,3.4839291716834393,2.4232971366697775,1.5951974955897923,0.25,0.10471975511965977
148,0,5.140279421542244,0.4051807807728694,0.9525943066129684,0.25,0.10471975511965977
149,0,0.21697779419065585,7.139545749349786,2.130789701655811,0.25,0.10471975511965977
150,0,4.240121254775037,1.494659638976533,1.032814423173123,0.25,0.10471975511965977
151,0,3.2476382816153424,2.9391372522991466,0.7490280377641817,0.25,0.10471975511965977
152,0,2.057201191246358,6.561756602982059,1.5561932853421698,0.25,0.10471975511965977
153,0,3.931439786779467,7.954341438901963,1.9155999029647008,0.25,0.10471975511965977
154,0,7.193092440320558,6.389895449686077,2.1417424130800864,0.25,0.10471975511965977
155,0,6.047692493799828,7.483518765981722,1.8476159207005391,0.25,0.10471975511965977
156,0,5.129480339083142,6.24101600370781,0.8149534122707012,0.25,0.10471975511965977
157,0,7.816867071320884,0.49691541032173386,1.6821557911852332,0.25,0.10471975511965977
158,0,2.5463768750604734,5.845627697977344,0.8857519566196214,0.25,0.10471975511965977
159,0,1.1682814308728398,2.6580907354750525,1.7004546989478986,0.25,0.10471975511965977
160,0,0.7258291999222515,6.398943470022714,0.6048430263244173,0.25,0.10471975511965977
161,0,6.451250298766276,6.988245414031044,2.321693486868939,0.25,0.10471975511965977
162,0,5.784560158220442,0.08918508865295928,1.1130688696588487,0.25,0.10471975511965977
163,0,5.5800070039343455,0.9771041975194794,1.0517801161945184,0.25,0.10471975511965977
164,0,1.0390165220291416,6.614792114847921,0.24996339127377246,0.25,0.10471975511965977
165,0,3.9724289517782263,6.194322077206448,0.8712568254378876,0.25,0.10471975511965977
166,0,0.8360801552628881,2.8047662813764367,1.356789570977507,0.25,0.10471975511965977
167,0,0.032135492936003575,6.207116034602906,0.594700970450088,0.25,0.10471975511965977
168,0,5.621294155221527,1.227979951090743,2.219788749512819,0.25,0.10471975511965977
169,0,4.902742776039262,7.98585783904154,2.4904127631792643,0.25,0.10471975511965977
