t,ke,px,py,pz,pnorm,lx,ly,lz,lnorm
0.10000000000000081,6454.8433028000945,2.7711166694643907e-13,2.2737367544323206e-13,-296.4082473568662,296.4082473568662,-1331.1438978103627,1439.4281842386144,785.7303942302592,2112.1718269770286
0.20000000000000367,6357.620472042985,2.9108659926890823e-13,3.9707126475718724e-13,-596.5545776339632,596.5545776339632,-1476.6188061451294,2649.621614562242,958.4673694404078,3181.1251935909254
0.2999999999999996,6537.902109103649,1.2854994846378531e-13,2.0367041386748497e-13,-894.1105566486328,894.1105566486328,-2649.0562522460746,3844.6734731087217,956.8624569318363,4765.983519052025
0.3999999999999886,7558.5325184785615,1.8322843242657427e-13,1.5482060078397808e-13,-1191.1624182257071,1191.1624182257071,-3817.2880283516915,5035.542496828614,955.703001705033,6390.754599906972
0.4999999999999776,8873.874034313989,1.9033385978417527e-13,1.5437651157412802e-13,-1489.66080019859,1489.66080019859,-4994.28957103701,6839.928021579582,604.5159696485715,8490.75869503537
0.5999999999999666,10325.47432845336,3.0142555118573e-13,-2.6835478283970815e-13,-1787.7035732136821,1787.7035732136821,-6168.513836771054,7166.937422989463,-139.5609178245473,9457.009687489319
0.6999999999999555,11877.354332158977,3.2307490016592055e-13,-2.801231469007348e-13,-1967.0053700765866,1967.0053700765866,-6923.138352245385,7916.043569265675,-129.0179310829943,10517.140108479316
0.7999999999999445,13981.275842161152,3.8968828164342995e-13,-3.560624017850955e-13,-2260.0231805599283,2260.0231805599283,-8063.238996887308,9368.516625865575,-356.28482032013363,12365.753748285402
0.8999999999999335,16353.315101459837,3.1230573682705653e-13,-4.0091541197995184e-13,-2558.0468947010672,2558.0468947010672,-9886.438499087584,10667.339410238123,-369.59231842810556,14548.89668570444
0.9999999999999225,18547.649402058763,3.3584246494910985e-13,-2.761818551633155e-13,-2684.3829402495176,2684.3829402495176,-10494.445164994746,10096.329016556245,-370.0156938975863,14567.297297212262
1.0999999999999115,20833.69086814094,3.5005331966431186e-13,-3.117089919513205e-13,-2982.2969000960484,2982.2969000960484,-10394.350236706745,10624.597365772366,-185.9243367395365,14864.694880390069
1.1999999999999005,23586.166241815772,3.2163161023390785e-13,-3.117089919513205e-13,-3071.8069580567517,3071.8069580567517,-8313.061534457844,11492.742443237445,-382.1027403073117,14189.296087065924
1.2999999999998895,26423.59987963849,32.16603125944153,6.68657636459508,-3205.4863148169366,3205.6546723484,-9606.791769160913,14891.715265459221,122.70706366672428,17721.983203552663
1.3999999999998785,28906.053336973528,31.847137193360414,6.7256759645755615,-3502.930107204917,3503.081330889599,-12126.213475686109,16175.788685604151,403.018135053839,20220.376269407374
1.4999999999998674,32251.089928754183,10.853102159771993,8.179488995844407,-3740.9254342009863,3740.9501197046934,-12909.594540339052,17111.3615970137,588.9604204147774,21443.02220482277
1.5999999999998564,35295.10277313973,28.468654618223603,26.852124325840435,-3762.4994749235175,3762.7029911589257,-12712.925008283677,17214.631119993875,655.7323010141131,21410.090418171974
1.6999999999998454,38630.47380307853,55.43727337082338,37.29944649000717,-3851.5333173574422,3852.1128533185106,-13446.40019449436,16474.577535802513,552.3010963484804,21272.57435466367
1.7999999999998344,40423.73440395718,9.610434911143749,36.90111663782521,-3776.2253798948536,3776.417902275956,-13424.102882364823,16617.14225036971,828.304245987101,21378.073876971655
1.8999999999998234,42670.1881971823,-24.661564766637127,20.80965786467695,-3738.800474090829,3738.93971865006,-13004.88654971602,14398.90336599824,873.1796244506504,19422.09913914806
1.9999999999998124,45574.344752719924,-19.915023445255798,2.0361141185676574,-3792.36862984657,3792.4214663673497,-10542.11801211974,15269.796111951493,508.823312388971,18562.376643233452
2.0999999999998016,47675.16434262152,9.307517338050264,38.028797499493386,-3891.358122500779,3891.555069232741,-11366.41617643307,15384.94499427543,673.0648954190623,19140.140164748154
2.1999999999997906,50801.7985094067,46.38112309799847,13.620828640408988,-3929.43344168035,3929.7307678960096,-11023.340834960125,15718.491737447352,394.57662702010333,19202.622643235234
2.2999999999997796,54277.79827973437,36.781112115643474,17.390669235758548,-4200.567472129682,4200.764498695312,-12077.033152904976,16638.250216145196,406.51277350973754,20563.349743328497
2.3999999999997685,58227.629985637104,-0.4638492949007862,25.987167575494247,-4346.97006185015,4347.047764478355,-12679.243768539218,16817.03012655299,577.8512198032435,21069.163173976787
2.4999999999997575,62280.21867777615,12.430209882971907,-2.664407355859021,-4486.161396376408,4486.179408307498,-15002.38117169326,17256.37578038096,167.29346513234879,22866.611751590375
2.5999999999997465,66749.18243276514,9.641442350027788,-2.049033088801842,-4784.828598138787,4784.838750628278,-16237.673340716947,16471.562240991632,171.84812611194718,23130.151965716508
2.6999999999997355,71252.7617766691,16.988247226863237,3.205519437422125,-4993.890985018406,4993.9209090800405,-16998.04007842097,17980.923318298985,76.16867800037734,24743.742068524356
2.7999999999997245,76226.52807102416,14.285194518799162,4.521704800121864,-5292.058452901771,5292.079665077409,-14338.066497353428,18859.41170387641,-759.9860750622453,23703.061817687765
2.8999999999997135,81328.65657638693,20.749084340133304,-1.6447212310471389,-5503.169249073275,5503.208610761053,-12462.181162681969,23015.165361128322,-204.16293025913882,26173.37346300011
2.9999999999997025,86625.97857515288,26.13655803444312,-6.522868708062237,-5694.75570320194,5694.8194165077,-13052.105494612755,23758.86200342671,-243.63715515494997,27109.045365039063
3.0999999999996914,91999.7973774092,18.9601151614878,-14.75607635470651,-5811.298590914477,5811.348254968111,-13751.912825260843,26451.209602322913,-404.2849346478618,29815.181402902395
3.1999999999996804,97356.45489454258,29.577977763125755,-30.305867195538415,-5913.406639751612,5913.558268032325,-14083.200869069615,24684.766364758892,-365.30604602744916,28421.95780921081
3.2999999999996694,102976.27054122536,28.351033739960183,-31.746019296355108,-6198.375313558158,6198.521446166213,-17870.333951698412,25827.85669893325,-95.62602114655749,31407.581274937053
3.3999999999996584,108688.93213278729,23.022706775857692,-32.659372962663554,-6338.308219085202,6338.434172553394,-18546.696054793767,25935.79073323295,123.4006622754069,31885.112564179613
3.4999999999996474,114548.99153117198,20.43636462192078,-41.40308722789178,-6559.719204216853,6559.881698537127,-17180.89902834977,28968.66604058104,127.76941259480023,33680.60612007833
3.5999999999996364,120119.04673833717,-2.1722347352801785,-28.998655617081496,-6597.6348051390005,6597.698891478216,-16531.620087367606,29102.573458219995,296.31672082533845,33471.510993727
3.6999999999996254,126205.52008818842,1.6835641535691113,-32.16968020812716,-6786.922422067163,6786.998871804161,-17383.881977935456,30028.352513754253,368.06687206718544,34699.2331404513
3.7999999999996144,132105.72967456377,11.840469644795236,-19.11672307266412,-6894.560049788936,6894.596719603553,-17081.142061084774,24367.227978098665,302.38289075554616,29759.34557177317
3.8999999999996033,138495.5937493462,16.09933711913113,-8.20163915486086,-7035.680710836367,7035.703910794956,-20169.617957615905,25185.43020830111,446.7986790996232,32269.47493209385
3.9999999999995923,144779.84204194523,24.199543823548588,6.505712296185367,-7118.973357699055,7119.017460987345,-23605.774482988923,25578.81067185235,369.2428727250254,34808.68404044107
4.099999999999803,151050.08928281927,39.5732859191853,12.359099716993441,-7246.697456381194,7246.816046832286,-24442.808659354054,25965.77145533964,396.000589934354,35662.71160324117
4.200000000000014,157382.13018433884,48.967730967019975,2.895342059427633,-7381.846720105409,7382.009700671809,-24942.100182419694,22589.591379605346,-376.61198191408425,33653.22921789709
4.300000000000225,163983.588200669,53.47316012181715,-0.5262119113714843,-7546.978595835136,7547.1680504508495,-25618.993547859896,22983.951385911794,-371.7266070333626,34419.951080523344
4.4000000000004365,170812.1013745806,47.76232657296972,4.41328106730089,-7728.950328023359,7729.099164193834,-21709.11606867545,23442.839371338734,-720.1855575003108,31958.897126009277
4.5000000000006475,177703.76949044585,42.76358546234656,13.142151525786106,-7890.817980330607,7890.9448001552455,-22040.30432404227,23996.669712301118,-627.8881468667905,32588.485934492906
